ID,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
127,PAYMENT,1120.54,C1277780208,3888.53,2690.28,C998875386,17206.04,18749.51,1,0
128,PAYMENT,9701.87,C399373008,40071.67,30566.13,M391506011,39304.55,49011.65,1,0
129,PAYMENT,9155.54,C1035931638,13527.69,4166.89,C1191985342,41280.02,50078.99,1,0
130,PAYMENT,5577.83,C386902888,34020.01,28909.96,C1343259760,3984.07,9515.6,1,0
131,PAYMENT,3209.73,C204322447,25790.1,22900.09,M1019484860,20956.12,24343.24,1,0
132,PAYMENT,3557.83,C1373072083,7417.72,3841.39,C1022023283,20941.66,24400.61,1,0
133,PAYMENT,6976.38,C923341586,14236.91,7552.81,M107994825,10718.7,17223.46,1,0
134,PAYMENT,736.97,C1382589675,12572.94,12065.14,M949966841,29489.67,30705.8,1,0
135,PAYMENT,949.6,C986326393,26216.04,25758.47,M1268858861,35519.63,36207.67,1,0
136,PAYMENT,8743.08,C1173659886,38704.88,30058.83,C1769947269,4341.3,13203.17,1,0
137,PAYMENT,4616.71,C350069300,29099.07,24008.64,C1335050193,25194.7,29813.52,1,0
138,PAYMENT,2467.91,C106001940,26990.01,24212.04,M1351255332,23466.99,26316.48,1,0
139,PAYMENT,5504.44,C936070265,47833.82,42503.6,C1300183775,15245.51,20698.59,1,0
140,PAYMENT,521.85,C408680976,21616.26,21016.73,C1489571589,14094.17,14246.84,1,0
141,PAYMENT,6073.82,C1537040733,45343.15,38888.28,C188246551,17590.35,24129.38,1,0
142,PAYMENT,6256.33,C1343098056,11499.75,5142.92,M159062444,24515.85,30844.25,1,0
143,PAYMENT,9433.18,C1060703587,7795.2,-1676.08,C757108857,13722.53,23503.11,1,0
144,PAYMENT,3746.43,C1620529408,38263.29,34205.39,C1688019098,26942.88,30670.89,1,0
145,PAYMENT,7208.95,C1683174795,8122.19,687.81,C427998326,37950.89,44672.03,1,0
146,PAYMENT,197.21,C1781616306,24099.85,23454.44,M170862654,19846.02,20136.04,1,0
147,PAYMENT,1427.36,C186027573,704.82,-647.1,C675358222,6226.84,7325.48,1,0
148,PAYMENT,7608.75,C93418375,16651.34,9125.76,C1302803707,32645.85,40528.4,1,0
149,PAYMENT,8275.75,C1284098442,20609.61,12094.44,C801412408,35532.31,44086.28,1,0
150,PAYMENT,8337.48,C1880005690,17576.83,8770.14,C1510405270,12698.87,20820,1,0
151,PAYMENT,7935.63,C2120850956,8420.93,718.69,M1102803206,41991.18,50268.71,1,0
152,PAYMENT,7710.56,C589143360,47660.42,39560,C1992550266,13769.2,21639.48,1,0
153,PAYMENT,468.65,C2029372696,28837.33,28161.93,C1971489295,36710.84,36733.09,1,0
154,PAYMENT,1535.3,C979478542,38966.93,37319.62,M148282983,11325.72,12481,1,0
155,PAYMENT,4086.95,C728240742,48631.89,44383.22,C135254299,21360.07,25521.91,1,0
156,PAYMENT,6958.56,C977160959,31328.6,23882.66,C248609774,38471.46,44963.69,1,0
157,PAYMENT,8477.03,C1431556341,38612.66,29927.55,C1740000325,13242.8,21746.34,1,0
158,PAYMENT,7158.32,C1769064456,31357,24436.08,C789698697,37119.2,43941.11,1,0
159,PAYMENT,1417.45,C1880005690,45328.97,43553.32,C1510405270,18406.74,19387.78,1,0
160,PAYMENT,9907.65,C1421965867,17009.58,7580.06,C1438594533,49990.08,59626.82,1,0
161,PAYMENT,2081.18,C736286167,46577.48,44926.04,C1219241264,12631.16,15007.21,1,0
162,PAYMENT,6721.9,C1108517064,12755.95,5662.73,C1983747920,5343.66,12051.67,1,0
163,PAYMENT,667.85,C358593114,26193.03,25703.74,M746973450,21121.81,21372.23,1,0
164,PAYMENT,4378.39,C1053754290,17528.59,13002.91,C1121453612,36007.7,40488.18,1,0
165,PAYMENT,7332.02,C1825456600,39156.22,31548.77,C570409417,47778.32,55172.79,1,0
166,PAYMENT,994.23,C416201381,6417.03,5470.62,M1178290888,33352.42,34159.25,1,0
167,PAYMENT,9325.25,C128884810,41147.28,32077.76,C621969405,27032.02,36707.43,1,0
168,PAYMENT,3158.73,C299464222,26915.21,23751.01,C1047863486,38124.76,40854.32,1,0
169,PAYMENT,2251.8,C1764109750,47366.04,44734.47,C1522743169,30152.68,31950.17,1,0
170,PAYMENT,1009.16,C1053632127,22809.67,21722.77,M1493158871,34125.68,35463.46,1,0
171,PAYMENT,6132.7,C1310550812,15328.81,9346.36,M612371103,27797.33,34405.02,1,0
172,PAYMENT,1269.56,C538384239,45733.74,44073.64,C345330137,13884.47,15291.39,1,0
173,PAYMENT,8559.02,C235420001,29546.53,20856.34,M509179355,37798.04,46086.57,1,0
174,PAYMENT,7242.95,C558400671,6330.09,-966.84,C527482085,22779.72,30336.74,1,0
175,PAYMENT,909.68,C1284098442,27935.75,27030.93,C801412408,19182.59,20051.01,1,0
176,PAYMENT,9968.54,C840095827,13477.4,3933.62,C803116137,107.55,10179.49,1,0
177,PAYMENT,9303.07,C748298300,36603.31,27572.97,C708718126,17584.11,27152.61,1,0
178,PAYMENT,9953.19,C1556004794,27929.06,17756.48,C1838584624,45404.46,55687.42,1,0
179,PAYMENT,1230.48,C190546586,6001.53,4891.87,C1661048214,2386.59,3638.98,1,0
180,PAYMENT,2257.18,C25936709,21919.09,19835.07,C885951223,7046.49,9040.61,1,0
181,PAYMENT,5049.1,C1121301094,34626.21,29775.85,C1297685781,34574.51,39852.86,1,0
182,PAYMENT,5830.11,C430329518,6433.95,368.93,C991505714,31868.17,37722.02,1,0
183,PAYMENT,1936.65,C2123736135,29959.11,28211.33,C1157464567,30752.64,32848.7,1,0
184,PAYMENT,9513.32,C1572433638,1203.13,-8186.43,C1259324562,27401.44,36996.41,1,0
185,PAYMENT,9742.91,C1147482731,25642.01,15850.07,C1575675375,30351.92,39874.83,1,0
186,PAYMENT,1989.66,C169880779,335.19,-2048.24,C1286084959,33935,36361.05,1,0
187,PAYMENT,4865.56,C276456900,17738.19,12435.32,C1857357520,26160.01,30949.97,1,0
188,PAYMENT,2840.96,C864622150,18668.15,15858.64,C41792607,31420.56,34169.96,1,0
189,PAYMENT,5346.47,C269892014,22288.83,16593.7,C1590550415,617.85,6361.48,1,0
190,PAYMENT,4664.85,C674608081,43824.06,39413.74,M552186123,23785.96,28087.18,1,0
191,PAYMENT,4814.61,C1938531779,7969.64,3231.47,C2048578791,21123.21,25856.97,1,0
192,PAYMENT,8732.78,C192428201,28672.39,19552.45,C401424608,38791.57,47243.69,1,0
193,PAYMENT,9813.66,C864622150,14199.86,4769.65,C41792607,11305.96,21229.12,1,0
194,PAYMENT,852.39,C1589292382,45368.84,44778.7,M896703427,38459.63,39635.84,1,0
195,PAYMENT,381.72,C649769713,2523.89,1668.1,C1060830840,25156.54,25897.76,1,0
196,PAYMENT,6633.97,C417943432,8038.92,1556.31,M1229455879,33340.61,39832.41,1,0
197,PAYMENT,1796.63,C768216420,36526.93,35035.52,C1509514333,2358.85,4302.35,1,0
198,PAYMENT,114.94,C1233327519,41420.59,41406.81,C2083562754,40802.71,40886.82,1,0
199,PAYMENT,7205.38,C1863655430,32656.44,25633.36,C1509514333,27432.51,34871.31,1,0
200,PAYMENT,8063.27,C1796974538,48704.01,40264.4,C41514385,29319.3,37450.39,1,0
201,PAYMENT,5941.93,C1642356615,24598.38,18225.21,M2090563811,10273.48,15966.96,1,0
202,PAYMENT,4956.89,C589143360,16818.6,11685.87,C1992550266,42298.74,47321.96,1,0
203,PAYMENT,538.84,C549906380,3002.1,2569.05,C280164607,13834.83,14581.04,1,0
204,PAYMENT,5073.04,C1454717953,32329.86,27585.15,C1052117080,41737.57,46679.28,1,0
205,PAYMENT,6293.67,C589665359,27543.21,20836.34,M1563671353,45435.64,51580.21,1,0
206,PAYMENT,8972.55,C552285545,11707.39,3145.83,C47249488,39919.31,49206.79,1,0
207,PAYMENT,4434.58,C300099756,37943.34,33091.41,M1314800399,46900.86,51104.05,1,0
208,PAYMENT,2385.46,C751021317,6888.18,4844.01,M1896552614,9216.63,11824.01,1,0
209,PAYMENT,368.06,C1079297498,9834.15,9891.65,C1255395942,9724.57,10065.23,1,0
210,PAYMENT,6858.31,C1805164661,10150.26,3049.47,M778162712,43575.83,50896.53,1,0
211,PAYMENT,8343.77,C1966355106,29015.87,20439.35,C476800120,23437.28,31729.95,1,0
212,PAYMENT,3131.33,C1901603284,1705.43,-1711.95,C1290076474,6294.52,9766.74,1,0
213,PAYMENT,6208.39,C1310016223,21692.81,15766.76,C1700852615,5310.97,11653.9,1,0
214,PAYMENT,6630.84,C1759411207,48570.34,41448.04,M25064932,25112.7,31545.26,1,0
215,PAYMENT,330.92,C140702728,38521.98,37805.61,C634210724,32097.4,32884.06,1,0
216,PAYMENT,2574.19,C387025868,39617.18,36944.1,C968448640,40842.07,43623.67,1,0
217,PAYMENT,7012.84,C512549200,44378.74,37401.84,C248609774,28728,35454.52,1,0
218,PAYMENT,9998.16,C1050084481,20591.35,10362.96,C57497207,2198.85,12021.3,1,0
219,PAYMENT,3064.99,C867093003,14005.8,11069.6,M1135278099,48203.16,51612.75,1,0
220,PAYMENT,9253.11,C840696258,47994.08,38516.31,M224315910,27225.54,36912.1,1,0
221,PAYMENT,4870.06,C847320212,32401.18,27252.62,M1201004240,11027.67,15398.5,1,0
222,PAYMENT,1223.23,C202024730,7676.97,6757.99,C172409641,19136.65,20826.1,1,0
223,PAYMENT,4966.79,C558935259,49406.05,44883.71,C1493513506,18161.09,23226.51,1,0
224,PAYMENT,3209.67,C175306923,33590.6,30590.82,M1564998337,27890.13,31179.28,1,0
225,PAYMENT,6806.25,C837073696,39285.71,32606.48,C655381473,41649.88,48179.83,1,0
226,PAYMENT,295.29,C383882703,12527.62,12021.94,C1807010830,47724.31,47825.52,1,0
227,PAYMENT,7276.5,C1769581889,24954.75,18005.36,C217441120,6550.75,13853.97,1,0
228,PAYMENT,7955.23,C1371714370,7085.24,-1342.34,C910539221,22104.93,30072.53,1,0
229,PAYMENT,4140.69,C1757197513,18739.51,14549.41,C760883565,18203.06,22167.28,1,0
230,PAYMENT,7468.61,C74534388,27382.88,20185.65,C1748042844,15114.01,22299.64,1,0
231,PAYMENT,8439.2,C522858741,21152.38,12558.37,M847159884,34534.85,43388.39,1,0
232,PAYMENT,4250.91,C1492875057,3421.93,-992.21,M333793193,23438.82,27610.58,1,0
233,PAYMENT,6652.36,C3565780,36174.2,29224.12,M473666452,33842.87,40108.28,1,0
234,PAYMENT,5879.04,C1642679791,38886.69,33423.96,C564160838,49306.95,55163.56,1,0
235,PAYMENT,7800.99,C1446009472,20294.79,12302.63,C2010733400,22795.48,30567.43,1,0
236,PAYMENT,413.46,C2033331796,11958.75,11847.29,M353054202,48404.54,48587.32,1,0
237,PAYMENT,6923.82,C1797080726,34028.12,27446.73,C1636786811,8298,15209.93,1,0
238,PAYMENT,2720.01,C864622150,28529.11,25868.33,C41792607,40392.85,43200.87,1,0
239,PAYMENT,5997.59,C1233595751,32752.89,26826.7,C757108857,2570.56,8997.41,1,0
240,PAYMENT,8262.08,C311536309,18751.55,10929.35,C413177525,10456.04,18232.17,1,0
241,PAYMENT,5400.44,C1585731077,31199.63,25848.69,C936047452,15759.41,21584.47,1,0
242,PAYMENT,6655.16,C58527359,20272.68,13945.6,C582901057,7991.39,14192.52,1,0
243,PAYMENT,8126.86,C1247938090,26961.27,18476.92,C1002031672,24500.76,32491.31,1,0
244,PAYMENT,464.34,C1198040187,13906.39,12945.71,C1828047633,15672.12,15941.32,1,0
245,PAYMENT,5377.4,C849389843,20184.51,15206.61,M343982476,30307.04,36000.57,1,0
246,PAYMENT,4330.08,C1011452129,14037.48,9508.96,M1933532148,13143.39,17114.06,1,0
247,PAYMENT,7729.47,C2082031176,32315.83,24718.97,C568389897,5373.29,12617.58,1,0
248,PAYMENT,9708.8,C695601068,8115.41,-1585.67,M490805574,9404.55,19049.55,1,0
249,PAYMENT,4301.59,C1346532545,29127.6,24911.86,C824197891,24977.33,28836.44,1,0
250,PAYMENT,2739.65,C1851930929,29080.9,25860.24,C2014105033,3697.09,6911.53,1,0
251,PAYMENT,6320.17,C515068446,40909.41,34659.8,M79163231,18503.6,24675.15,1,0
252,PAYMENT,5349.46,C1565810585,37503.41,32434.76,C1606023013,25253.3,30338.69,1,0
253,PAYMENT,4634.56,C1748656511,1303.69,-3243.88,C1907989702,32843.42,37200.45,1,0
254,PAYMENT,712.26,C746280996,30129.98,29351.83,C1360767589,36150.6,37232.99,1,0
255,PAYMENT,4014.8,C538159513,4004.86,67.4,M880552474,34916.01,38528.54,1,0
256,PAYMENT,5791.65,C1419982552,3687.27,-1914.05,M32263068,48953.82,54877.3,1,0
257,PAYMENT,2148.22,C1055601039,41970.36,39598.27,C1359044626,6130.17,7895.82,1,0
258,PAYMENT,6754.61,C18455185,13051.59,5848.28,M977000076,32374.95,39479.09,1,0
259,PAYMENT,5040.23,C1781210332,36931.45,31807.22,C1257704323,8782.54,13703.7,1,0
260,PAYMENT,3080.72,C436661284,49256.96,46657.89,C522173599,42490.18,45992.77,1,0
261,PAYMENT,9764.29,C955123450,49420.05,39987.54,C1059154409,23736.56,33239.59,1,0
262,PAYMENT,4272.04,C1493484508,34982.97,30379.5,M1522732369,30085.64,33968.74,1,0
263,PAYMENT,6001.24,C1826400073,28203.67,22208.44,C84277455,48030.05,53982.24,1,0
264,PAYMENT,8864.01,C2029372696,40535.69,31354.25,C1971489295,18306.71,27109.35,1,0
265,PAYMENT,6133.91,C1231075353,9209.22,3324.11,M513310553,29006.54,35044.14,1,0
266,PAYMENT,6387.28,C260084831,49506.55,42818.17,M267814113,12062.35,17954.42,1,0
267,PAYMENT,4518.14,C140359285,10102.95,5715.48,C2020337583,24617.84,29152.95,1,0
268,PAYMENT,853.37,C145857719,34922.71,34273.58,C606088810,10832.31,12095.13,1,0
269,PAYMENT,3050.6,C1985938863,3602.57,783.33,C1291286504,15964.18,19352.23,1,0
270,PAYMENT,4791.28,C1708892900,7487.97,2968.67,M1359784468,48676.24,53298.19,1,0
271,PAYMENT,4388.34,C1233327519,10182.85,6203.88,C2083562754,12683,16599.1,1,0
272,PAYMENT,7398.79,C2140120637,21601.78,13746.7,M2037862792,1209.8,8872.87,1,0
273,PAYMENT,3822.12,C795748540,10539.28,6260.91,M2081000371,32054.38,36374.2,1,0
274,PAYMENT,8385.22,C1035667223,37367.8,28829.02,M429512160,35612.4,44132.47,1,0
275,PAYMENT,3454.78,C311740930,15338.49,12040.45,C1856036778,939.31,4423.02,1,0
276,PAYMENT,8337.52,C1561745898,17995.51,9280.19,M2033268925,26793.4,34777.71,1,0
277,PAYMENT,6021.8,C111332659,32837.29,26934.48,M1044717851,13994.64,20079.4,1,0
278,PAYMENT,8437.04,C713424385,1559.2,-6666.91,M1947656483,21546.74,29837.4,1,0
279,PAYMENT,9102.65,C254903902,47253.4,38349.69,C1475998599,34107.13,43065.04,1,0
280,PAYMENT,9530.68,C1543363189,18797.77,9479.21,C1649389360,43486.55,52931.49,1,0
281,PAYMENT,7829.22,C1844941220,11541.53,3447.51,C1191544932,16740.22,24362.21,1,0
282,PAYMENT,7772.23,C1352051806,39338.33,31443.24,M1247853630,46374.1,54353.26,1,0
283,PAYMENT,1112.08,C307525245,17723.36,16427.42,C1815852694,21984.82,22613.22,1,0
